seed,trial,condition,cause,bound_correct,local_correct,inverted_correct,bound_confidence,local_confidence,probability_positive
8501,31,coherent_ambiguous,-1,true,true,true,0.39166670259523606,0.5158455491553511,0.30416664870238197
8501,32,coherent_ambiguous,-1,true,false,true,0.3377354456835797,0.3066921607398478,0.33113227715821014
8501,33,coherent_ambiguous,-1,true,true,true,0.870880618711471,0.4734520028258225,0.06455969064426448
8501,34,coherent_ambiguous,1,true,true,true,0.6683211820486876,0.31737683693301605,0.8341605910243438
8501,35,coherent_ambiguous,1,true,true,true,0.9446149329707669,0.641917950412878,0.9723074664853835
8501,36,coherent_ambiguous,1,true,true,true,0.36648324928368625,0.5118583398297091,0.6832416246418431
8501,37,coherent_ambiguous,1,true,true,true,0.9721557144467254,0.7573741491842357,0.9860778572233627
8501,38,coherent_ambiguous,-1,true,true,true,0.5085315397600843,0.346229544440494,0.24573423011995787
8501,39,coherent_ambiguous,-1,true,true,true,0.3976996613902809,0.4618767419773637,0.30115016930485955
8501,40,coherent_ambiguous,1,false,false,false,0.5136222367313111,0.4065648012139503,0.24318888163434443
8501,41,coherent_ambiguous,1,true,true,true,0.93354750385265,0.6076875591335331,0.966773751926325
8501,42,coherent_ambiguous,-1,false,true,false,0.20507380627877136,0.3143607455061566,0.6025369031393857
8501,43,coherent_ambiguous,-1,true,true,true,0.7996575137003175,0.49527778620488944,0.10017124314984124
8501,44,coherent_ambiguous,1,true,true,true,0.8230469442475132,0.417613052188659,0.9115234721237566
8501,45,coherent_ambiguous,1,true,true,true,0.23514349367531162,0.4139846732668648,0.6175717468376558
8501,46,coherent_ambiguous,1,false,false,false,0.8354940551627211,0.46725853976207393,0.08225297241863942
8501,47,coherent_ambiguous,-1,false,true,false,0.10713631172515337,0.41911464486280386,0.5535681558625767
8501,48,coherent_ambiguous,1,false,false,false,0.022990475483329442,0.17837632193606925,0.4885047622583353
8501,49,coherent_ambiguous,1,false,false,false,0.7890708676939098,0.3934843886262171,0.10546456615304511
8501,50,coherent_ambiguous,1,true,true,true,0.5692361005824373,0.4359906673090772,0.7846180502912187
8501,51,coherent_ambiguous,-1,false,false,false,0.7424567271394689,0.7415933229008992,0.8712283635697344
8501,52,coherent_ambiguous,1,true,true,true,0.890845180549722,0.5520858328266872,0.945422590274861
8501,53,coherent_ambiguous,1,true,true,true,0.29142410984415257,0.44306982113940246,0.6457120549220763
8501,54,coherent_ambiguous,1,false,false,false,0.3201307277285257,0.18222607905957036,0.33993463613573716
8501,55,coherent_ambiguous,1,true,true,true,0.7466259009827996,0.5090154627708557,0.8733129504913998
8501,56,coherent_ambiguous,-1,true,true,true,0.8471077825534443,0.6255231906674309,0.07644610872327784
8501,57,coherent_ambiguous,-1,false,true,false,0.03303004241956975,0.36419529237120835,0.5165150212097849
8501,58,coherent_ambiguous,1,true,true,true,0.850377753211708,0.48626396146965933,0.925188876605854
8501,59,coherent_ambiguous,-1,true,true,true,0.813240495750496,0.5476891243779979,0.09337975212475201
8501,60,coherent_ambiguous,-1,true,true,true,0.882457427896844,0.5223161667783104,0.05877128605157801
8501,61,coherent_ambiguous,1,true,false,true,0.017426498406519775,0.39151734822974266,0.5087132492032599
